chaju_id,credit_class,score_risk,gender,age,agegroup,job,edu,dwell_type,house_type,marriage,income_home_grp,income_ind_grp,expenditure_grp,child_cd,no_child,flag_priv_biz_cd
C-1017,C04,318,여성,48,40대,사무직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,N,2,N
C-1018,C05,451,여성,53,50대,판매/서비스직,고등학교 졸업,자가,연립/다세대/빌라,기혼,300-399만원,100-199만원,100-199만원,N,1,N
C-1019,C07,668,남성,47,40대,무직/기타,대학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,99만원 이하,N,2,N
C-1020,C05,488,남성,40,40대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,N,2,N
C-1021,C05,481,여성,59,50대,전업주부,중학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,99만원 이하,N,1,N
C-1022,C05,481,남성,53,50대,판매/서비스직,고등학교 졸업,자가,단독주택,기혼,800-899만원,500-599만원,99만원 이하,N,2,N
C-1023,C05,491,여성,50,50대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,200-299만원,N,2,N
C-1024,C04,374,여성,63,60대,전업주부,고등학교 졸업,자가,단독주택,기혼,200-299만원,모름/무응답,99만원 이하,N,2,Y
C-1025,C04,307,남성,71,70대,학생(재수생포함),대학교 재학,자가,아파트,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,Y
C-1026,C04,357,여성,77,70대,전업주부,중학교 졸업,자가,아파트,기혼,100-199만원,모름/무응답,99만원 이하,N,3,N
C-1027,C03,297,여성,79,70대,전업주부,대학교 졸업,전세,아파트,기혼,300-399만원,모름/무응답,99만원 이하,N,1,N
C-1028,C04,338,여성,38,30대,판매/서비스직,대학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,100-199만원,N,2,N
C-1029,C05,451,여성,52,50대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,N,2,N
C-1030,C03,288,남성,43,40대,사무직,대학교 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,N,1,N
C-1031,C06,501,남성,51,50대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,400-499만원,200-299만원,N,2,N
C-1032,C04,358,여성,46,40대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,N,2,N
C-1033,C04,365,여성,81,80대이상,학생(재수생포함),고등학교 졸업,자가,연립/다세대/빌라,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1034,C06,554,여성,69,60대,기능/노무직,중학교 졸업,자가,연립/다세대/빌라,기타(이혼/별거/사별),100-199만원,100-199만원,99만원 이하,N,2,N
C-1035,C04,388,여성,42,40대,판매/서비스직,전문대학 졸업,자가,아파트,기혼,500-599만원,500-599만원,100-199만원,N,1,N
C-1036,C05,454,남성,64,60대,기능/노무직,고등학교 졸업,자가,아파트,기혼,400-499만원,400-499만원,99만원 이하,N,2,N
C-1037,C05,458,남성,35,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,기혼,400-499만원,200-299만원,99만원 이하,N,1,N
C-1038,C04,331,여성,59,50대,판매/서비스직,대학교 졸업,자가,아파트,기혼,700-799만원,200-299만원,100-199만원,N,1,Y
C-1039,C07,604,여성,66,60대,무직/기타,중학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,100-199만원,N,2,N
C-1040,C03,287,여성,78,70대,전업주부,대학교 졸업,자가,아파트,기혼,400-499만원,모름/무응답,100-199만원,N,2,N
C-1041,C05,448,여성,41,40대,전업주부,대학교 졸업,전세,아파트,기혼,300-399만원,모름/무응답,99만원 이하,N,1,Y
C-1042,C06,575,여성,28,20대,사무직,대학교 졸업,월세,연립/다세대/빌라,미혼,200-299만원,200-299만원,100-199만원,Y,0,N
C-1043,C04,375,남성,28,20대,사무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,Y,0,N
C-1044,C04,328,남성,31,30대,기능/노무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,Y,0,N
C-1045,C06,578,여성,34,30대,기능/노무직,전문대학 졸업,자가,아파트,기혼,600-699만원,100-199만원,300-399만원,N,2,N
C-1046,C05,457,여성,70,70대,기능/노무직,중학교 졸업,자가,연립/다세대/빌라,기타(이혼/별거/사별),100-199만원,100-199만원,99만원 이하,N,2,N
C-1047,C05,464,남성,64,60대,행정관리/전문직,대학원 졸업,자가,연립/다세대/빌라,기혼,700-799만원,700-799만원,300-399만원,N,2,N
C-1048,C04,368,여성,38,30대,판매/서비스직,대학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,200-299만원,N,1,N
C-1049,C06,554,여성,62,60대,전업주부,중학교 졸업,자가,아파트,기혼,100-199만원,모름/무응답,99만원 이하,N,2,Y
C-1050,C07,631,남성,53,50대,행정관리/전문직,고등학교 졸업,자가,아파트,기혼,600-699만원,600-699만원,100-199만원,N,2,N
C-1051,C05,425,여성,28,20대,무직/기타,전문대학 졸업,자가,연립/다세대/빌라,미혼,400-499만원,모름/무응답,99만원 이하,Y,0,N
C-1052,C04,378,남성,31,30대,판매/서비스직,대학교 졸업,자가,단독주택,기혼,300-399만원,300-399만원,100-199만원,N,1,N
C-1053,C04,328,남성,38,30대,기능/노무직,전문대학 졸업,자가,아파트,미혼,800-899만원,200-299만원,100-199만원,Y,0,N
C-1054,C04,358,여성,38,30대,전업주부,대학교 졸업,전세,아파트,기혼,300-399만원,모름/무응답,100-199만원,N,1,N
C-1055,C06,551,여성,55,50대,전업주부,고등학교 졸업,자가,연립/다세대/빌라,기혼,200-299만원,모름/무응답,99만원 이하,N,2,Y
C-1056,C07,608,남성,42,40대,기능/노무직,고등학교 졸업,월세,오피스텔,미혼,300-399만원,300-399만원,100-199만원,Y,0,N
C-1057,C06,504,여성,60,60대,전업주부,고등학교 졸업,자가,연립/다세대/빌라,기혼,600-699만원,모름/무응답,200-299만원,N,2,Y
C-1058,C05,441,여성,53,50대,전업주부,고등학교 졸업,자가,아파트,기혼,400-499만원,모름/무응답,200-299만원,N,1,N
C-1059,C05,447,여성,73,70대,무직/기타,중학교 졸업,자가,아파트,기타(이혼/별거/사별),99만원 이하,모름/무응답,99만원 이하,N,1,N
C-1060,C06,515,여성,26,20대,판매/서비스직,고등학교 졸업,월세,단독주택,미혼,200-299만원,200-299만원,100-199만원,Y,0,N
C-1061,C05,488,남성,43,40대,기능/노무직,전문대학 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,N,2,N
C-1062,C04,348,남성,42,40대,사무직,전문대학 졸업,전세,아파트,기혼,300-399만원,300-399만원,100-199만원,N,1,N
C-1063,C05,421,여성,54,50대,전업주부,고등학교 졸업,자가,단독주택,기혼,900-999만원,모름/무응답,200-299만원,N,2,N
C-1064,C05,438,여성,30,30대,무직/기타,전문대학 졸업,자가,아파트,미혼,600-699만원,모름/무응답,99만원 이하,Y,0,N
C-1065,C03,288,여성,39,30대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,300-399만원,100-199만원,N,2,N
C-1066,C06,508,여성,45,40대,전업주부,전문대학 졸업,자가,아파트,기혼,100-199만원,모름/무응답,100-199만원,N,1,N
C-1067,C03,278,남성,35,30대,사무직,대학교 졸업,자가,아파트,미혼,700-799만원,300-399만원,99만원 이하,Y,0,N
C-1068,C05,494,남성,67,60대,판매/서비스직,고등학교 졸업,자가,단독주택,기혼,200-299만원,200-299만원,99만원 이하,N,1,N
C-1069,C04,398,남성,43,40대,기능/노무직,고등학교 졸업,자가,아파트,기혼,600-699만원,400-499만원,400-499만원,N,2,N
C-1070,C06,538,남성,46,40대,기능/노무직,고등학교 졸업,전세,단독주택,미혼,200-299만원,200-299만원,99만원 이하,Y,0,N
C-1071,C04,378,남성,38,30대,판매/서비스직,대학교 졸업,자가,아파트,기혼,1000만원 이상,1000만원 이상,500-599만원,N,1,N
C-1072,C04,358,남성,31,30대,판매/서비스직,전문대학 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,Y,0,N
C-1073,C03,275,여성,25,20대,사무직,대학교 졸업,자가,아파트,미혼,800-899만원,200-299만원,99만원 이하,Y,0,N
C-1074,C05,460,남성,21,20대,기능/노무직,고등학교 졸업,전세,단독주택,미혼,500-599만원,200-299만원,200-299만원,Y,0,Y
C-1075,C04,381,남성,50,50대,행정관리/전문직,고등학교 졸업,자가,단독주택,기혼,700-799만원,500-599만원,99만원 이하,N,2,N
C-1076,C04,398,남성,43,40대,판매/서비스직,전문대학 졸업,자가,연립/다세대/빌라,기혼,500-599만원,200-299만원,100-199만원,N,2,N
C-1077,C04,365,여성,81,80대이상,학생(재수생포함),고등학교 졸업,자가,연립/다세대/빌라,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1078,C05,441,남성,53,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,800-899만원,300-399만원,99만원 이하,N,3,Y
C-1079,C04,368,여성,36,30대,사무직,전문대학 졸업,전세,아파트,기혼,400-499만원,200-299만원,100-199만원,Y,0,N
C-1080,C03,268,남성,38,30대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,300-399만원,99만원 이하,N,2,N
C-1081,C05,474,남성,63,60대,무직/기타,고등학교 졸업,자가,아파트,기혼,300-399만원,모름/무응답,99만원 이하,N,2,N
C-1082,C03,258,여성,48,40대,행정관리/전문직,대학교 졸업,전세,아파트,기혼,800-899만원,300-399만원,100-199만원,N,2,N
C-1083,C05,428,여성,43,40대,사무직,대학교 졸업,자가,아파트,기혼,700-799만원,200-299만원,200-299만원,N,1,N
C-1084,C03,287,여성,78,70대,전업주부,대학교 졸업,자가,아파트,기혼,400-499만원,모름/무응답,100-199만원,N,2,N
C-1085,C05,428,남성,49,40대,판매/서비스직,전문대학 졸업,자가,단독주택,기혼,500-599만원,200-299만원,200-299만원,N,2,N
C-1086,C03,287,여성,78,70대,전업주부,대학교 졸업,자가,아파트,기혼,400-499만원,모름/무응답,100-199만원,N,2,N
C-1087,C04,338,여성,32,30대,기능/노무직,전문대학 졸업,자가,아파트,기혼,600-699만원,100-199만원,100-199만원,N,2,N
C-1088,C05,451,남성,51,50대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,500-599만원,100-199만원,N,2,N
C-1089,C03,297,남성,73,70대,사무직,대학교 졸업,자가,아파트,기혼,400-499만원,400-499만원,200-299만원,N,2,N
C-1090,C04,378,남성,49,40대,기능/노무직,고등학교 졸업,자가,아파트,기혼,400-499만원,200-299만원,100-199만원,N,2,N
C-1091,C05,454,남성,65,60대,기능/노무직,고등학교 졸업,자가,아파트,기혼,200-299만원,200-299만원,99만원 이하,N,3,N
C-1092,C04,384,남성,60,60대,기능/노무직,고등학교 졸업,자가,단독주택,기혼,500-599만원,400-499만원,100-199만원,N,3,N
C-1093,C06,518,남성,46,40대,사무직,대학교 졸업,자가,아파트,기혼,400-499만원,400-499만원,300-399만원,N,2,N
C-1094,C05,488,남성,33,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,기혼,500-599만원,200-299만원,100-199만원,Y,0,N
C-1095,C04,361,여성,56,50대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,400-499만원,100-199만원,99만원 이하,N,1,N
C-1096,C05,418,남성,42,40대,기능/노무직,전문대학 졸업,자가,연립/다세대/빌라,기혼,400-499만원,300-399만원,100-199만원,N,1,N
C-1097,C05,495,남성,25,20대,판매/서비스직,전문대학 졸업,자가,아파트,미혼,600-699만원,100-199만원,100-199만원,Y,0,N
C-1098,C04,337,남성,77,70대,기능/노무직,고등학교 졸업,자가,아파트,기혼,800-899만원,800-899만원,500-599만원,N,3,N
C-1099,C05,468,여성,40,40대,사무직,대학교 졸업,자가,아파트,기혼,700-799만원,300-399만원,200-299만원,N,2,N
C-1100,C05,404,여성,60,60대,전업주부,중학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,100-199만원,N,3,Y
C-1101,C04,388,여성,36,30대,판매/서비스직,전문대학 졸업,전세,아파트,기혼,500-599만원,200-299만원,100-199만원,Y,0,N
C-1102,C04,398,남성,47,40대,행정관리/전문직,대학교 졸업,자가,단독주택,기혼,500-599만원,400-499만원,100-199만원,N,2,N
C-1103,C04,358,남성,36,30대,사무직,대학교 졸업,전세,단독주택,기혼,300-399만원,300-399만원,99만원 이하,N,2,N
C-1104,C04,384,남성,62,60대,기능/노무직,고등학교 졸업,자가,단독주택,기혼,400-499만원,200-299만원,100-199만원,N,2,N
C-1105,C05,498,남성,38,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,미혼,300-399만원,300-399만원,100-199만원,Y,0,N
C-1106,C04,318,여성,33,30대,사무직,대학교 졸업,전세,아파트,기혼,500-599만원,200-299만원,100-199만원,N,1,N
C-1107,C04,337,남성,77,70대,기능/노무직,고등학교 졸업,자가,아파트,기혼,800-899만원,800-899만원,500-599만원,N,3,N
C-1108,C06,511,남성,55,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,500-599만원,300-399만원,200-299만원,N,1,N
C-1109,C03,254,남성,69,60대,행정관리/전문직,대학교 졸업,자가,아파트,기혼,900-999만원,900-999만원,200-299만원,N,2,Y
C-1110,C08,724,남성,62,60대,기능/노무직,고등학교 졸업,자가,아파트,기혼,200-299만원,200-299만원,100-199만원,N,2,N
C-1111,C04,361,남성,59,50대,사무직,고등학교 졸업,자가,아파트,기혼,300-399만원,300-399만원,100-199만원,N,2,N
C-1112,C04,355,여성,84,80대이상,학생(재수생포함),대학교 재학,자가,연립/다세대/빌라,미혼,400-499만원,모름/무응답,99만원 이하,Y,0,N
C-1113,C06,508,남성,42,40대,사무직,전문대학 졸업,전세,아파트,기혼,300-399만원,300-399만원,100-199만원,N,1,N
C-1114,C04,348,남성,34,30대,사무직,대학교 졸업,전세,아파트,미혼,200-299만원,200-299만원,99만원 이하,Y,0,N
C-1115,C05,448,남성,38,30대,사무직,전문대학 졸업,자가,아파트,미혼,600-699만원,300-399만원,100-199만원,Y,0,N
C-1116,C05,461,남성,57,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,600-699만원,300-399만원,100-199만원,N,2,N
C-1117,C05,421,남성,56,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,800-899만원,300-399만원,100-199만원,N,2,N
C-1118,C06,528,남성,44,40대,판매/서비스직,전문대학 졸업,자가,아파트,기혼,200-299만원,200-299만원,100-199만원,N,2,N
C-1119,C05,408,남성,43,40대,사무직,전문대학 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,N,2,N
C-1120,C04,348,여성,47,40대,판매/서비스직,전문대학 졸업,자가,아파트,기혼,500-599만원,100-199만원,99만원 이하,N,2,N
C-1121,C04,358,여성,40,40대,전업주부,고등학교 졸업,자가,아파트,기혼,300-399만원,모름/무응답,99만원 이하,N,2,N
C-1122,C05,491,여성,55,50대,전업주부,고등학교 졸업,자가,연립/다세대/빌라,기혼,200-299만원,모름/무응답,99만원 이하,N,2,Y
C-1123,C04,361,여성,52,50대,기능/노무직,고등학교 졸업,전세,아파트,기혼,400-499만원,100-199만원,99만원 이하,Y,0,N
C-1124,C04,355,여성,84,80대이상,학생(재수생포함),대학교 재학,자가,연립/다세대/빌라,미혼,400-499만원,모름/무응답,99만원 이하,Y,0,N
C-1125,C04,334,남성,65,60대,기능/노무직,고등학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,99만원 이하,N,2,N
C-1126,C05,471,여성,53,50대,전업주부,고등학교 졸업,자가,아파트,기혼,700-799만원,모름/무응답,200-299만원,N,2,N
C-1127,C05,458,남성,44,40대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,400-499만원,100-199만원,N,1,N
C-1128,C04,338,여성,41,40대,전업주부,대학교 졸업,자가,아파트,기혼,400-499만원,모름/무응답,100-199만원,N,2,N
C-1129,C06,518,여성,35,30대,무직/기타,대학교 졸업,자가,연립/다세대/빌라,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1130,C05,474,남성,60,60대,기능/노무직,고등학교 졸업,자가,단독주택,기혼,500-599만원,400-499만원,100-199만원,N,3,N
C-1131,C04,351,남성,52,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,400-499만원,300-399만원,100-199만원,N,2,N
C-1132,C06,504,여성,69,60대,기능/노무직,중학교 졸업,자가,아파트,기혼,100-199만원,100-199만원,99만원 이하,N,2,N
C-1133,C04,381,여성,53,50대,전업주부,중학교 졸업,자가,아파트,기혼,300-399만원,모름/무응답,99만원 이하,N,1,Y
C-1134,C05,424,여성,61,60대,전업주부,고등학교 졸업,자가,단독주택,기혼,800-899만원,모름/무응답,100-199만원,N,3,N
C-1135,C05,461,남성,55,50대,기능/노무직,고등학교 졸업,전세,아파트,기혼,500-599만원,300-399만원,100-199만원,N,2,N
C-1136,C05,434,남성,68,60대,기능/노무직,고등학교 졸업,자가,단독주택,기타(이혼/별거/사별),100-199만원,100-199만원,99만원 이하,N,2,N
C-1137,C05,438,여성,48,40대,전업주부,고등학교 졸업,자가,단독주택,기혼,500-599만원,모름/무응답,99만원 이하,N,1,N
C-1138,C06,554,여성,63,60대,전업주부,고등학교 졸업,자가,단독주택,기혼,200-299만원,모름/무응답,99만원 이하,N,2,N
C-1139,C05,451,여성,56,50대,기능/노무직,중학교 졸업,자가,아파트,기혼,500-599만원,100-199만원,99만원 이하,N,1,N
C-1140,C04,365,남성,26,20대,학생(재수생포함),대학교 재학,자가,아파트,미혼,400-499만원,모름/무응답,100-199만원,Y,0,N
C-1141,C04,348,남성,47,40대,무직/기타,대학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,99만원 이하,N,2,N
C-1142,C05,424,여성,63,60대,전업주부,고등학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,99만원 이하,N,2,N
C-1143,C05,434,남성,64,60대,기능/노무직,고등학교 졸업,자가,아파트,기혼,200-299만원,100-199만원,99만원 이하,N,2,N
C-1144,C07,601,여성,52,50대,기능/노무직,고등학교 졸업,자가,연립/다세대/빌라,기혼,400-499만원,100-199만원,100-199만원,N,2,N
C-1145,C05,448,남성,46,40대,행정관리/전문직,대학교 졸업,자가,연립/다세대/빌라,기혼,500-599만원,300-399만원,100-199만원,N,1,N
C-1146,C08,731,여성,59,50대,기능/노무직,고등학교 졸업,전세,단독주택,기타(이혼/별거/사별),200-299만원,200-299만원,99만원 이하,N,1,Y
C-1147,C07,668,여성,49,40대,판매/서비스직,고등학교 졸업,자가,단독주택,기혼,600-699만원,200-299만원,100-199만원,N,2,N
C-1148,C05,414,여성,61,60대,전업주부,고등학교 졸업,자가,단독주택,기혼,700-799만원,모름/무응답,99만원 이하,N,2,N
C-1149,C03,297,남성,70,70대,학생(재수생포함),대학교 재학,자가,아파트,미혼,600-699만원,모름/무응답,99만원 이하,Y,0,N
C-1150,C04,348,여성,46,40대,기능/노무직,고등학교 졸업,자가,아파트,기혼,500-599만원,100-199만원,100-199만원,N,2,N
C-1151,C04,325,남성,28,20대,기능/노무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,Y,0,N
C-1152,C04,344,여성,68,60대,전업주부,고등학교 졸업,자가,단독주택,기혼,400-499만원,모름/무응답,100-199만원,N,3,N
C-1153,C04,348,여성,46,40대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,N,2,N
C-1154,C05,411,남성,53,50대,행정관리/전문직,대학교 졸업,자가,아파트,기혼,600-699만원,600-699만원,200-299만원,N,1,N
C-1155,C08,788,여성,49,40대,판매/서비스직,고등학교 졸업,자가,연립/다세대/빌라,기혼,500-599만원,200-299만원,100-199만원,N,2,N
C-1156,C05,451,남성,52,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,400-499만원,200-299만원,100-199만원,N,2,N
C-1157,C05,408,남성,45,40대,사무직,대학교 졸업,자가,아파트,기혼,300-399만원,300-399만원,99만원 이하,N,2,N
C-1158,C04,370,여성,24,20대,학생(재수생포함),대학교 재학,자가,아파트,미혼,400-499만원,99만원 이하,99만원 이하,Y,0,N
C-1159,C04,340,여성,21,20대,학생(재수생포함),대학교 재학,자가,아파트,미혼,700-799만원,모름/무응답,99만원 이하,Y,0,N
C-1160,C06,544,여성,60,60대,기능/노무직,고등학교 졸업,자가,연립/다세대/빌라,기타(이혼/별거/사별),200-299만원,200-299만원,99만원 이하,N,1,N
C-1161,C03,275,여성,82,80대이상,사무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,100-199만원,Y,0,N
C-1162,C04,355,여성,84,80대이상,학생(재수생포함),대학교 재학,자가,연립/다세대/빌라,미혼,400-499만원,모름/무응답,99만원 이하,Y,0,N
C-1163,C06,538,남성,36,30대,기능/노무직,전문대학 졸업,전세,연립/다세대/빌라,기혼,400-499만원,200-299만원,200-299만원,N,2,N
C-1164,C05,468,남성,48,40대,행정관리/전문직,대학교 졸업,자가,단독주택,기혼,400-499만원,400-499만원,100-199만원,N,1,N
C-1165,C04,375,여성,27,20대,사무직,대학교 졸업,전세,단독주택,미혼,200-299만원,200-299만원,99만원 이하,Y,0,N
C-1166,C04,388,여성,34,30대,전업주부,전문대학 졸업,전세,아파트,기혼,300-399만원,모름/무응답,100-199만원,N,1,Y
C-1167,C04,384,남성,61,60대,무직/기타,고등학교 졸업,자가,아파트,기혼,100-199만원,모름/무응답,99만원 이하,N,1,N
C-1168,C05,448,여성,46,40대,기능/노무직,고등학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,100-199만원,N,1,N
C-1169,C04,365,여성,81,80대이상,학생(재수생포함),고등학교 졸업,자가,연립/다세대/빌라,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1170,C05,471,남성,56,50대,기능/노무직,고등학교 졸업,자가,아파트,기혼,800-899만원,300-399만원,100-199만원,N,2,Y
C-1171,C05,438,남성,46,40대,행정관리/전문직,대학원 졸업,자가,연립/다세대/빌라,기혼,600-699만원,300-399만원,100-199만원,N,1,N
C-1172,C04,307,남성,71,70대,학생(재수생포함),대학교 재학,자가,아파트,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1173,C06,528,여성,40,40대,전업주부,고등학교 졸업,자가,아파트,기혼,300-399만원,모름/무응답,100-199만원,N,2,N
C-1174,C05,411,남성,55,50대,기능/노무직,고등학교 졸업,자가,아파트,기타(이혼/별거/사별),200-299만원,200-299만원,100-199만원,N,2,N
C-1175,C03,275,여성,82,80대이상,사무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,100-199만원,Y,0,N
C-1176,C06,525,여성,26,20대,사무직,대학교 졸업,전세,기타,미혼,300-399만원,100-199만원,99만원 이하,Y,0,Y
C-1177,C04,378,남성,39,30대,기능/노무직,전문대학 졸업,자가,연립/다세대/빌라,기혼,300-399만원,300-399만원,99만원 이하,N,1,N
C-1178,C04,338,여성,38,30대,사무직,대학교 졸업,전세,아파트,기혼,500-599만원,200-299만원,200-299만원,N,1,N
C-1179,C05,434,여성,67,60대,전업주부,고등학교 졸업,자가,아파트,기혼,100-199만원,모름/무응답,99만원 이하,N,2,N
C-1180,C09,808,여성,43,40대,기능/노무직,고등학교 졸업,자가,연립/다세대/빌라,기혼,300-399만원,100-199만원,100-199만원,N,2,N
C-1181,C03,297,남성,70,70대,학생(재수생포함),대학교 재학,자가,아파트,미혼,600-699만원,모름/무응답,99만원 이하,Y,0,N
C-1182,C07,618,남성,31,30대,사무직,대학교 졸업,자가,연립/다세대/빌라,미혼,600-699만원,200-299만원,99만원 이하,Y,0,N
C-1183,C06,508,여성,35,30대,판매/서비스직,고등학교 졸업,자가,단독주택,기혼,300-399만원,100-199만원,99만원 이하,N,2,N
C-1184,C07,688,여성,33,30대,무직/기타,대학교 졸업,자가,아파트,미혼,400-499만원,모름/무응답,99만원 이하,Y,0,N
C-1185,C04,388,남성,33,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,미혼,300-399만원,300-399만원,100-199만원,Y,0,N
C-1186,C06,538,여성,31,30대,판매/서비스직,대학교 졸업,전세,연립/다세대/빌라,미혼,300-399만원,300-399만원,100-199만원,Y,0,N
C-1187,C04,341,남성,51,50대,행정관리/전문직,대학교 졸업,자가,아파트,기혼,800-899만원,700-799만원,100-199만원,N,2,N
C-1188,C05,404,남성,64,60대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,700-799만원,100-199만원,300-399만원,N,2,N
C-1189,C05,488,남성,45,40대,기능/노무직,고등학교 졸업,자가,아파트,기혼,400-499만원,200-299만원,99만원 이하,N,2,Y
C-1190,C04,370,남성,24,20대,기능/노무직,전문대학 졸업,자가,아파트,미혼,500-599만원,200-299만원,99만원 이하,Y,0,N
C-1191,C05,438,여성,31,30대,사무직,대학교 졸업,월세,연립/다세대/빌라,미혼,100-199만원,100-199만원,99만원 이하,Y,0,N
C-1192,C05,428,여성,40,40대,사무직,전문대학 졸업,자가,아파트,기혼,600-699만원,200-299만원,200-299만원,N,2,N
C-1193,C08,721,남성,55,50대,기능/노무직,고등학교 졸업,자가,연립/다세대/빌라,기혼,200-299만원,200-299만원,100-199만원,N,1,N
C-1194,C04,368,여성,42,40대,전업주부,고등학교 졸업,전세,아파트,기혼,300-399만원,모름/무응답,99만원 이하,N,1,N
